Train_ID,Train_Type,Priority,Section_ID,Scheduled_Arrival,Scheduled_Departure,Delay_Mins,Junction_Ahead,Platform_Avail,Track_Capacity,Signal_Status,Maintenance_Block,Disruption,Conflict_Flag,Throughput_Target,Hour
10001,Local,High,SEC_23,22:45,01:32,19,Yes,4,1,Green,No,None,1,19,22
10002,Maintenance,Low,SEC_26,09:08,22:57,27,No,1,3,Red,No,None,0,15,9
10003,Freight,Medium,SEC_47,11:55,03:04,24,No,3,2,Green,No,None,0,19,11
10004,Maintenance,High,SEC_07,02:12,01:15,27,No,3,4,Yellow,No,Weather,0,13,2
10005,Maintenance,Medium,SEC_36,05:58,07:46,14,No,4,4,Red,No,None,0,18,5
10006,Passenger,Medium,SEC_44,05:20,10:41,19,No,1,1,Yellow,No,None,0,20,5
10007,Freight,High,SEC_33,18:24,02:54,23,No,4,2,Green,No,Congestion,0,11,18
10008,Freight,High,SEC_49,06:03,10:48,18,No,2,3,Green,No,None,0,18,6
10009,Freight,High,SEC_36,21:04,09:48,27,No,3,2,Green,No,None,0,13,21
10010,Maintenance,Medium,SEC_04,00:49,13:54,13,No,3,3,Green,No,None,0,20,0
10011,Local,Low,SEC_23,16:08,00:27,11,No,2,3,Green,No,Breakdown,0,16,16
10012,Freight,Low,SEC_25,08:52,08:55,21,Yes,0,4,Green,No,None,1,15,8
10013,Maintenance,Medium,SEC_41,23:09,23:14,14,No,3,2,Green,No,None,1,19,23
10014,Passenger,High,SEC_26,19:16,03:19,5,Yes,4,1,Yellow,No,None,1,10,19
10015,Local,Low,SEC_28,12:28,20:24,18,Yes,0,3,Green,No,None,0,10,12
10016,Passenger,Medium,SEC_28,03:22,02:51,1,No,0,3,Green,No,None,0,14,3
10017,Local,High,SEC_21,17:17,20:38,5,No,4,1,Green,No,None,0,14,17
10018,Maintenance,Low,SEC_10,21:08,20:56,22,No,2,1,Green,No,None,0,13,21
10019,Express,Medium,SEC_27,02:06,21:34,22,No,0,1,Yellow,No,None,1,18,2
10020,Local,Medium,SEC_15,14:29,21:53,25,Yes,3,2,Red,No,None,0,18,14
10021,Passenger,Medium,SEC_17,08:58,14:27,10,No,1,1,Green,No,None,1,16,8
10022,Maintenance,High,SEC_39,08:26,09:15,0,Yes,0,3,Green,No,None,0,19,8
10023,Local,High,SEC_35,03:17,16:22,27,No,2,4,Green,No,None,0,15,3
10024,Express,Medium,SEC_05,16:53,18:00,21,Yes,4,4,Green,Yes,Weather,0,20,16
10025,Express,High,SEC_16,20:05,00:52,8,No,3,4,Yellow,Yes,None,0,12,20
10026,Freight,Medium,SEC_23,06:24,13:57,12,No,1,4,Green,No,Congestion,1,13,6
10027,Freight,Medium,SEC_39,09:41,01:01,8,Yes,0,3,Red,No,None,0,14,9
10028,Passenger,Medium,SEC_48,05:37,19:41,14,No,2,2,Yellow,No,None,0,19,5
10029,Local,Medium,SEC_09,18:28,14:26,27,No,1,2,Green,No,Congestion,0,11,18
10030,Local,Medium,SEC_33,07:08,14:06,17,Yes,1,3,Green,No,None,0,12,7
10031,Freight,Low,SEC_35,00:15,07:31,3,Yes,3,4,Green,No,Breakdown,0,13,0
10032,Local,Medium,SEC_40,05:22,10:47,21,No,3,3,Green,No,None,0,12,5
10033,Local,High,SEC_50,07:46,22:24,3,Yes,0,4,Green,Yes,None,0,16,7
10034,Express,High,SEC_24,11:09,06:19,11,Yes,0,4,Green,No,Breakdown,0,16,11
10035,Freight,Medium,SEC_24,15:46,08:56,8,No,1,3,Green,No,None,0,16,15
10036,Maintenance,High,SEC_50,10:23,18:57,30,No,2,2,Yellow,No,Congestion,0,18,10
10037,Freight,High,SEC_24,06:07,23:00,17,No,1,3,Green,No,None,0,14,6
10038,Maintenance,High,SEC_19,10:40,17:07,25,No,2,3,Green,Yes,None,1,20,10
10039,Express,Medium,SEC_39,06:14,07:21,5,Yes,3,4,Yellow,No,None,0,13,6
10040,Passenger,Low,SEC_25,14:47,07:13,16,Yes,2,2,Yellow,No,None,0,15,14
10041,Local,High,SEC_31,02:15,23:01,24,Yes,2,3,Green,No,None,1,18,2
10042,Express,Medium,SEC_38,14:24,02:06,16,No,3,3,Yellow,No,None,1,15,14
10043,Local,Medium,SEC_25,00:13,02:14,28,Yes,4,1,Green,No,None,1,15,0
10044,Passenger,High,SEC_27,23:53,10:33,12,No,1,3,Green,No,None,0,14,23
10045,Passenger,Low,SEC_32,10:02,21:17,11,No,0,1,Yellow,No,None,1,16,10
10046,Express,Medium,SEC_11,08:05,13:17,13,Yes,2,4,Green,No,Weather,0,12,8
10047,Passenger,Medium,SEC_05,22:15,01:35,7,No,0,2,Red,No,None,0,15,22
10048,Maintenance,Medium,SEC_44,10:49,13:38,28,Yes,0,2,Green,No,None,0,15,10
10049,Passenger,High,SEC_33,16:48,14:37,14,No,1,1,Red,No,Breakdown,0,15,16
10050,Local,Medium,SEC_19,02:58,04:51,8,Yes,4,3,Green,No,None,0,14,2
10051,Local,High,SEC_43,18:23,17:42,0,No,4,4,Green,No,None,0,15,18
10052,Local,Low,SEC_47,22:46,07:28,16,No,4,1,Green,No,None,0,10,22
10053,Local,Medium,SEC_16,09:07,11:17,9,Yes,4,2,Green,No,Weather,0,10,9
10054,Maintenance,Medium,SEC_35,16:35,14:58,29,No,3,4,Yellow,No,None,0,16,16
10055,Freight,High,SEC_11,07:57,07:57,22,No,0,4,Green,Yes,Weather,1,12,7
